,artist_name,artist_id,genre
309,Los K-Bros,6t0pW5dxdrPbrqnCK4sQ2f,"['chicago mexican', 'corridos tumbados']"
310,Blackjesus Yoshua,2Dy3fOAUcKb7G3NdUcQuEG,[]
311,The Lumzy Sisters,7xm11AVJYELMMIa5zArCuT,['contemporary gospel']
312,Embien,4KACX9SaKjjSY3qP8XNKPs,[]
313,XanMan,1cyidXIhLIwg1WAEm7rJQP,"['dmv rap', 'vapor trap']"
314,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
315,Ghost Woman,4IEpQR24sUgq6BQw2MdZIy,"['chamber psych', 'crank wave', 'neo-psychedelic']"
316,NOVIEMBRE,4X9GWy5VTiowy4VvRc26ZZ,[]
317,Estevan Plazola,4Rh80sXmcG4xDP1r6dTNiQ,"['corrido', 'corridos tumbados']"
318,Daniel Ballinger,5zj7eNJ8KrcuaajL6sfuxD,[]
319,Young Tapz,3Ufjh9B15yzmuUlv5m1x3y,[]
320,Paris Street,08NgOOrJll4W7E7IS04CKC,[]
321,Paris Street,08NgOOrJll4W7E7IS04CKC,[]
322,Plainview Kiet,289Be5jdMDYWJf8NDHqNzW,['asian american hip hop']
323,Simon Core,0kzZc9RbbOjGkbPYdNeWA2,[]
324,Swazy Baby,5A6SjPKUaAY3phJcL0xtsp,[]
325,Nephew531,3rb6By9VZMAuZtXExt6p2A,[]
326,DJ ReMix Workout,4gJtt2PtDWnlu7Eg0mp3wT,['workout product']
327,WalknTalknCheck,2RTWfvTwjdpeCU3lEl6bVZ,[]
328,Widespread Panic,54SHZF2YS3W87xuJKSvOVf,"['athens indie', 'jam band', 'roots rock', 'southern rock']"
329,Paris Street,08NgOOrJll4W7E7IS04CKC,[]
330,The M-Zee Band,6mgsiaflAG9GqoRiFeJHub,[]
331,Royal D,1X8EOCeF9SpJUvLH2QG8Zt,[]
332,Paris Street,08NgOOrJll4W7E7IS04CKC,[]
333,FlashKdai,7yyxWDaP5WojTpRWTabEWj,[]
334,Heavy Hearts,5WH57wBnMti80IPvNFef8f,[]
335,Galy Galiano,2OSKh2JIKMr66DxByxhwzT,"['musica popular colombiana', 'salsa', 'salsa colombiana', 'tropical']"
336,Rob G,3Fi8QXNws0RkB8yl5DdRih,['texas latin rap']
337,Tkay Maidza,1kMPdZQVdUhMDKDWOJM5iK,"['alternative r&b', 'australian hip hop', 'escape room']"
338,Piano Mood,2aP89x4fqPqphWmflk2vFD,[]
339,Killz Aka Killa Kaunn,0nEMZYDCKRNpbsEkS8F6vI,[]
340,Rubblebucket,6xriZDSK3wPXhOoZXr9fzF,"['indie pop', 'shimmer pop']"
341,Verde Babii,53BJ60lhX4jJI51f3YAlo0,"['cali rap', 'westcoast flow']"
342,Free Range Marmot,2gmegPZIL7KYDXbCN7IY8Y,[]
343,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
344,Cal Tjader,3XOVABzceOUTbR3iEz0ImO,"['bossa nova', 'cool jazz', 'jazz vibraphone', 'latin jazz', 'lounge']"
345,Gilles Peterson's Havana Cultura Band,4SoWhz7qApVfHCY5sy6Uq9,"['cuban alternative', 'latin afrobeat']"
346,Brooklyn Alexis,3diEaQs1REUgZyFRSklEVf,[]
347,Natalie,4lFOyLUXnV2Emuus9X8xpA,[]
348,Conjunto Alacrán,5F4kfSDVQCVBQivYUfJE4l,[]
349,William Clark Green,0cshCXEe1I7wlRwdrL91ZQ,"['red dirt', 'texas country']"
350,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,['edm']
351,DJ Fun Love,1q1Z9ngsjqqvD56vefCLNf,[]
352,Cota,2e1yGR8FqYaOz962igAVIM,[]
353,Pookiegg,2Ui6FZ0i6KvJfizWnbaqQE,[]
354,Jon Randall,696mMRImtIkeOH1cZtwUgX,[]
355,King South,5OASGjcRSVU0IAS1nf7VHe,['alabama rap']
356,Nipsey Hussle,0EeQBlQJFiAfJeVN2vT9s0,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
357,Brother Smith,3nrUYDcGmurwb4Jc2ZSmWF,['kentucky roots']
358,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,"['alternative country', 'alternative rock', 'anti-folk', 'art pop', 'art rock', 'chamber pop', 'dream pop', 'indie pop', 'indie rock', 'lo-fi', 'melancholia', 'metropopolis', 'permanent wave', 'tape club']"
359,Glenn Wiggins,74HzMSwuWd1ocW0EtYKDpT,[]
360,Cheeseburger,5NmN99CDgKpH4fQR5pJ4Oo,['garage rock revival']
361,Jesus Adame,07XVE0MtKBkaHfiacGsjhU,[]
362,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
